id;nhogar;miembro;aesc_sosten;ISEI_sosten;patrimonio;ios_cod;ios;iosterciles;ioscuartiles
1195;1;1;3;14;3;1;-1,84;1;1
1196;1;1;7;32;5;1;-0,36;2;2
1197;1;1;0;32;3;1;-2,03;1;1
1198;1;1;7;42;1;1;-1,45;1;1
1199;1;1;2;24;5;1;-1,16;1;1
1200;1;1;0;28;5;1;-1,26;1;1
1201;1;1;12;26;1;1;-0,95;1;1
1202;1;1;10;16;4;1;-1,17;1;1
1203;1;1;7;23;5;1;-0,86;1;1
1204;1;1;7;36;1;1;-1,49;1;1
1205;1;1;10;27;5;1;-0,44;2;2
1206;1;2;7;45;5;1;-0,49;1;2
1207;1;1;7;24;5;1;-1,06;1;1
1208;1;1;0;32;1;1;-2,47;1;1
1209;1;1;12;35;1;1;-1,09;1;1
1210;1;1;12;48;1;1;-0,75;1;2
1211;1;1;3;16;5;1;-1,30;1;1
1212;1;1;0;16;5;1;-1,63;1;1
1213;1;1;7;16;3;1;-1,33;1;1
1214;1;1;3;26;5;1;-1,44;1;1
1215;1;1;0;35;5;1;-1,04;1;1
1216;1;1;7;16;4;1;-1,10;1;1
1217;1;1;12;27;5;1;0,04;2;3
1218;1;1;2;16;5;1;-1,41;1;1
1219;1;1;9;32;5;1;-0,63;1;2
1220;1;1;7;22;5;1;-0,89;1;1
